"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"1",0,8,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",952,245,69.83,1.59,82.64,89.11,13121,1.83
"2",0,8,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",8401,1240,355.17,52.82,415.7,415.53,68518,0.77
"3",0,8,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",1048,258,92.53,6.59,82.07,76.17,15423,0.64
"4",0,8,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",12263,2461,600.18,103.51,872.64,883.24,160831,1.44
"5",0,8,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",624,136,44.03,6.01,54.66,30.8,6655,0.51
"6",0,8,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1309,349,96.24,8.36,106.05,135.46,20366,2.89
"7",0,8,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3566,761,211.92,23.71,299.45,222.76,48318,3.16
"8",0,8,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5882,1097,263.52,44.84,456.47,329.31,75000,2.86
"9",0,8,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",4912,753,239.99,24.04,242.88,243.07,43268,3.01
"10",0,8,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1194,433,79.74,10.11,249.63,91.52,24113,2
"11",0,8,"AS","Alaska Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",86,4,1,0,1.35,1,120,0.65
"12",0,8,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",180,32,17.36,0,6.27,6.79,1366,1.58
"13",0,8,"AS","Alaska Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",145,20,7.16,0,7.24,5.6,684,0
"14",0,8,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",59,9,2,1.63,3.05,2.32,293,0
"15",0,8,"AS","Alaska Airlines Inc.","LAS","Las Vegas, NV: McCarran International",381,52,23.66,0,15.08,12.36,1847,0.9
"16",0,8,"AS","Alaska Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",792,131,28.91,0,71.7,30.38,5621,0
"17",0,8,"AS","Alaska Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",198,23,3.7,0,12.14,7.16,893,0
"18",0,8,"AS","Alaska Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",185,30,8.75,0.11,8.49,11.65,974,1
"19",0,8,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",486,139,11.36,0,108.38,18.26,6699,1
